id,source,type_transaction,type_bien,gouvernorat,ville,prix_dt,prix_m2,surface_m2,nb_pieces,nb_chambres,nb_salles_bain,etage,ascenseur,parking,piscine,climatisation,chauffage_central,meuble
mubawab_8247201,mubawab,vente,appartement,Tunis,,365000.0,2097.7011494252874,174.0,3.0,3.0,2.0,,True,True,False,True,True,False
mubawab_8310025,mubawab,vente,appartement,Tunis,,140000.0,1400.0,100.0,2.0,2.0,1.0,,False,False,False,False,False,False
mubawab_8369444,mubawab,vente,appartement,Tunis,,990000.0,4304.347826086957,230.0,3.0,3.0,2.0,,True,True,False,True,True,False
mubawab_8288624,mubawab,vente,appartement,Tunis,,430000.0,2388.8888888888887,180.0,4.0,4.0,1.0,4éme étage,False,True,False,False,False,False
mubawab_8364064,mubawab,vente,appartement,Tunis,,740000.0,4352.941176470588,170.0,3.0,3.0,2.0,,False,True,False,True,True,False
mubawab_8249107,mubawab,vente,appartement,Tunis,,250000.0,3968.253968253968,63.0,1.0,3.0,1.0,,True,True,False,True,True,False
mubawab_8365242,mubawab,vente,appartement,Tunis,,320000.0,3265.3061224489797,98.0,2.0,2.0,1.0,,True,True,False,True,True,True
mubawab_8147226,mubawab,vente,appartement,Tunis,,235200.0,4200.0,56.0,1.0,1.0,1.0,,True,True,False,True,True,False
mubawab_8175098,mubawab,vente,appartement,Tunis,,258000.0,1767.123287671233,146.0,3.0,3.0,1.0,,True,False,False,True,True,False
mubawab_8298753,mubawab,vente,appartement,Tunis,,225000.0,1956.5217391304348,115.0,3.0,3.0,2.0,,True,False,False,True,True,False
mubawab_8372238,mubawab,vente,appartement,Tunis,,590000.0,4538.461538461538,130.0,3.0,3.0,1.0,,True,True,False,True,True,False
mubawab_8330686,mubawab,vente,appartement,Tunis,,270000.0,3698.6301369863013,73.0,1.0,3.0,1.0,,True,True,False,False,False,False
mubawab_8372588,mubawab,vente,appartement,Tunis,,1600000.0,5128.205128205128,312.0,3.0,3.0,1.0,,True,True,False,False,True,False
mubawab_8367790,mubawab,vente,appartement,Tunis,,300000.0,2343.75,128.0,3.0,3.0,1.0,6éme étage,True,True,False,True,True,False
mubawab_8268694,mubawab,vente,appartement,Tunis,,216000.0,3789.4736842105262,57.0,1.0,1.0,1.0,,True,True,False,True,True,False
mubawab_8246346,mubawab,vente,appartement,Tunis,,380000.0,3551.4018691588785,107.0,3.0,3.0,1.0,,False,True,False,True,True,False
mubawab_8394941,mubawab,vente,appartement,Tunis,,248000.0,4428.571428571428,56.0,1.0,3.0,1.0,,True,True,False,True,True,False
mubawab_8369259,mubawab,vente,appartement,Tunis,,435000.0,2589.285714285714,168.0,3.0,3.0,2.0,6éme étage,True,False,False,False,False,False
mubawab_8147525,mubawab,vente,appartement,Tunis,,400000.0,3200.0,125.0,2.0,2.0,2.0,,True,True,False,True,True,False
mubawab_8372228,mubawab,vente,appartement,Tunis,,730000.0,4562.5,160.0,3.0,3.0,1.0,,True,True,False,True,True,False
mubawab_8373835,mubawab,vente,appartement,Tunis,,370000.0,2163.7426900584796,171.0,3.0,3.0,2.0,,True,True,False,True,True,False
mubawab_8366915,mubawab,vente,appartement,Tunis,,580000.0,4640.0,125.0,2.0,2.0,2.0,,False,True,False,True,True,False
mubawab_8372399,mubawab,vente,appartement,Tunis,,65000.0,1083.3333333333333,60.0,2.0,2.0,1.0,,False,True,False,False,False,False
mubawab_8374000,mubawab,vente,appartement,Tunis,,275000.0,2777.777777777778,99.0,2.0,2.0,1.0,,True,True,False,True,True,False
mubawab_8370771,mubawab,vente,appartement,Tunis,,187000.0,3116.6666666666665,60.0,1.0,1.0,1.0,,True,False,False,True,True,True
mubawab_8350631,mubawab,vente,appartement,Tunis,,550000.0,4583.333333333333,120.0,3.0,3.0,2.0,,True,True,False,True,True,True
mubawab_8321323,mubawab,vente,appartement,Tunis,,330000.0,4925.373134328358,67.0,1.0,3.0,,rez-de-chaussée,False,False,False,False,True,False
mubawab_8363447,mubawab,vente,appartement,Tunis,,550000.0,2956.989247311828,186.0,3.0,3.0,1.0,1er étage,False,True,False,True,True,True
mubawab_8338628,mubawab,vente,appartement,Tunis,,550000.0,5789.473684210527,95.0,2.0,2.0,2.0,,True,True,False,True,True,False
mubawab_8362189,mubawab,vente,appartement,Tunis,,185000.0,2256.0975609756097,82.0,2.0,2.0,1.0,,True,True,False,True,True,False
mubawab_8363818,mubawab,vente,appartement,Tunis,,640000.0,3350.785340314136,191.0,4.0,4.0,3.0,,True,False,False,True,True,False
mubawab_8343639,mubawab,vente,appartement,Tunis,,430000.0,2443.181818181818,176.0,4.0,3.0,1.0,1er étage,True,True,False,True,True,False
